Province_State,Country_Region,GDP_region,TRUE POPULATION,pct_in_largest_city, TFR , Avg_age ,latitude,longitude,abs_latitude,temperature,humidity,Personality_pdi,Personality_idv,Personality_mas,Personality_uai,Personality_ltowvs,Personality_assertive,personality_perform,personality_agreeableness,murder,High_rises,max_high_rises,AIR_CITIES,AIR_AVG,continent_gdp_pc,continent_happiness,continent_generosity,continent_corruption,continent_Life_expectancy
,Philippines, 6.0 ," 109,581,078 ",9.247%,2.6,26,13.00,122.00,13.00,27.3,78.9,94,32,64,44,27,3.85,4.21,47.96,2.4,1838,1659,17,17.3,9.37,5.38,0.16,0.70,64.71
Maryland,US, 5.9 ," 6,045,680 ",10.271%,1.8,38,39.06,-76.80,39.06,10.5,65.4,40,91,62,46,26,4.5,4.45,50,2.1,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Shandong,China, 6.8 ," 100,060,000 ",5.576%,1.7,38,36.34,118.15,36.34,7.8,58.6,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Singapore, 5.8 ," 5,850,342 ",71.013%,1.2,42,1.28,103.83,1.28,30.7,77.1,74,20,48,8,72,4.06,4.81,46,-1.1,8654,8654,1,14.8,9.37,5.38,0.16,0.70,64.71
British Columbia,Canada, 5.4 ," 5,000,000 ",20.000%,1.5,41,49.28,-123.12,49.28,6.4,79.8,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
,Diamond Princess, 0.1 ," 2,700 ",20.000%,2,58,35.00,139.00,35.00,20.0,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,10.71,7.17,0.16,0.43,72.18
,Panama, 4.1 ," 4,314,767 ",9.982%,2.5,30,8.54,-80.78,8.54,32.1,72.0,95,11,44,86,#NULL!,3,0,#DIV/0!,2.3,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Missouri,US, 5.9 ," 6,137,428 ",7.492%,1.8,38,38.46,-92.29,38.46,7.6,80.3,40,91,62,46,26,4.5,4.45,50,2.3,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Arizona,US, 6.1 ," 7,278,717 ",19.861%,1.8,38,33.73,-111.43,33.73,18.7,43.7,40,91,62,46,26,4.5,4.45,50,1.6,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Jiangsu,China, 6.5 ," 80,290,000 ",10.893%,1.7,38,32.97,119.46,32.97,12.1,71.3,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Peru, 5.3 ," 32,971,854 ",23.061%,2.3,31,-9.19,-75.02,9.19,34.3,74.8,64,16,42,87,25,3,0,43.64,2.0,0,0,2,25.9,9.30,5.98,-0.07,0.80,66.72
,Slovenia, 3.8 ," 2,078,938 ",20.000%,1.6,45,46.15,15.00,46.15,10.4,75.2,71,27,19,88,49,4.01,3.62,50.18,-0.7,0,0,0,#DIV/0!,9.98,5.88,-0.10,0.85,68.15
Virginia,US, 6.2 ," 8,535,519 ",5.131%,1.8,38,37.77,-78.17,37.77,12.3,71.3,40,91,62,46,26,4.5,4.45,50,1.5,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Argentina, 6.4 ," 45,195,774 ",3.231%,2.3,32,-38.42,-63.62,38.42,31.0,35.2,49,46,56,86,20,4.18,3.63,42.75,1.8,1990,1775,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Alabama,US, 5.7 ," 4,903,185 ",4.329%,1.8,38,32.32,-86.90,32.32,17.4,79.7,40,91,62,46,26,4.5,4.45,50,2.1,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Croatia, 4.0 ," 4,105,267 ",18.652%,1.4,44,45.10,15.20,45.10,10.5,74.1,73,33,40,80,58,3,#N/A,45.2,0.0,158,158,12,14.4,9.98,5.88,-0.10,0.85,68.15
,Mexico, 7.0 ," 128,932,753 ",6.662%,2.1,29,23.63,-102.55,23.63,21.2,44.5,81,30,69,82,24,4.31,3.97,49.51,3.0,1765,1492,14,20.1,9.30,5.98,-0.07,0.80,66.72
,Dominican Republic, 4.3 ," 10,847,910 ",19.001%,2.4,28,18.74,-70.16,18.74,26.7,87.3,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.7,301,301,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Mississippi,US, 5.2 ," 2,976,149 ",5.830%,1.8,38,32.74,-89.68,32.74,16.3,81.3,40,91,62,46,26,4.5,4.45,50,1.7,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Chongqing,China, 5.6 ," 30,750,000 ",26.554%,1.7,38,30.06,107.87,30.06,15.4,75.9,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Estonia, 3.2 ," 1,326,535 ",29.106%,1.6,42,58.60,25.01,58.60,3.3,82.8,40,60,30,60,82,3,0,49.58,1.2,0,0,9,7.2,9.98,5.88,-0.10,0.85,68.15
Victoria,Australia, 5.7 ," 6,000,000 ",20.000%,1.8,38,-37.81,144.96,37.81,25.0,59.6,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
Beijing,China, 5.2 ," 21,710,000 ",96.771%,1.7,38,40.18,116.41,40.18,9.5,42.9,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Qatar, 5.2 ," 2,881,053 ",10.718%,1.9,32,25.35,51.18,25.35,24.2,52.7,4.39,3.76,5.05,0,0,4.39,3.76,#DIV/0!,-1.0,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
Queensland,Australia, 5.6 ," 5,000,000 ",20.000%,1.8,38,-28.02,153.40,28.02,26.6,77.2,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
Sichuan,China, 6.6 ," 83,020,000 ",10.938%,1.7,38,30.62,102.71,30.62,3.1,66.1,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
South Carolina,US, 5.7 ," 5,148,714 ",2.645%,1.8,38,33.86,-80.95,33.86,16.1,71.7,40,91,62,46,26,4.5,4.45,50,2.0,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Alberta,Canada, 5.2 ," 4,300,000 ",20.000%,1.5,41,53.93,-116.58,53.93,-2.1,85.9,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
,Colombia, 5.7 ," 50,882,891 ",13.129%,1.8,31,4.57,-74.30,4.57,18.9,81.3,67,13,64,80,13,4.16,3.93,#DIV/0!,3.2,346,346,1,13.9,9.30,5.98,-0.07,0.80,66.72
,Egypt, 5.7 ," 102,334,404 ",7.588%,3.3,25,26.00,30.00,26.00,23.8,36.1,#NULL!,#NULL!,#NULL!,#NULL!,7,3.91,4.15,#DIV/0!,0.9,125,125,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
Nevada,US, 5.2 ," 3,080,156 ",18.952%,1.8,38,38.31,-117.06,38.31,8.7,46.6,40,91,62,46,26,4.5,4.45,50,1.9,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Hong Kong,China, 4.1 ," 7,000,000 ",103.927%,1.7,38,22.30,114.20,22.30,20.6,77.8,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Heilongjiang,China, 5.8 ," 37,890,000 ",16.735%,1.7,38,47.86,127.76,47.86,-7.3,89.8,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Utah,US, 5.3 ," 3,205,958 ",5.815%,1.8,38,40.15,-111.86,40.15,5.6,64.4,40,91,62,46,26,4.5,4.45,50,0.6,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Shanghai,China, 5.4 ," 24,180,000 ",96.840%,1.7,38,31.20,121.45,31.20,14.3,63.4,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Bahrain, 3.6 ," 1,701,575 ",8.698%,2,32,26.03,50.55,26.03,20.4,63.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,-0.7,0,0,1,59.8,9.71,5.23,-0.08,0.76,65.31
,Iraq, 5.2 ," 40,222,493 ",12.302%,3.7,21,33.00,44.00,33.00,20.3,41.9,#NULL!,#NULL!,#NULL!,#NULL!,25,3,#N/A,#DIV/0!,2.3,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
,Serbia, 3.8 ," 8,737,371 ",20.000%,1.5,42,44.02,21.01,44.02,10.2,71.0,86,25,43,92,52,3,#N/A,47.64,0.3,0,0,1,23.9,9.98,5.88,-0.10,0.85,68.15
Oregon,US, 5.5 ," 4,217,737 ",13.841%,1.8,38,44.57,-122.07,44.57,8.6,86.0,40,91,62,46,26,4.5,4.45,50,0.7,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Algeria, 5.2 ," 43,851,044 ",1.176%,3.1,29,28.03,1.66,28.03,28.2,20.0,#NULL!,#NULL!,#NULL!,#NULL!,26,3,#N/A,#DIV/0!,0.3,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
,United Arab Emirates, 6.0 ," 9,890,402 ",4.220%,1.4,33,24.00,54.00,24.00,26.6,46.1,0,0,0,0,30,3,#N/A,#DIV/0!,-0.1,1435,1435,4,41.5,9.71,5.23,-0.08,0.76,65.31
Minnesota,US, 5.8 ," 5,639,632 ",6.784%,1.8,38,45.69,-93.90,45.69,-3.4,89.6,40,91,62,46,26,4.5,4.45,50,0.6,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Lebanon, 4.1 ," 6,825,445 ",16.816%,2.1,30,33.85,35.86,33.85,7.0,75.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,46.1,1.4,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
Arkansas,US, 5.2 ," 3,017,825 ",6.413%,1.8,38,34.97,-92.37,34.97,12.7,78.7,40,91,62,46,26,4.5,4.45,50,2.0,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,New Zealand, 5.2 ," 4,822,233 ",20.000%,1.9,38,-40.90,174.89,40.90,18.9,80.5,22,79,58,49,33,3.47,4.86,46.83,0.0,322,205,13,9.2,10.71,7.17,0.16,0.43,72.18
,Lithuania, 3.7 ," 2,722,289 ",20.406%,1.7,45,55.17,23.88,55.17,5.2,79.2,42,60,19,65,82,3,#N/A,42.61,1.7,0,0,6,15.3,9.98,5.88,-0.10,0.85,68.15
,Morocco, 4.7 ," 36,910,560 ",9.061%,2.4,30,31.79,-7.09,31.79,23.8,49.1,70,46,53,68,14,4.72,4.31,48.95,0.2,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
Fujian,China, 5.8 ," 39,110,000 ",9.453%,1.7,38,26.08,117.99,26.08,17.1,82.2,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Armenia, 2.6 ," 2,963,243 ",42.453%,1.8,35,40.07,45.04,40.07,-2.1,76.0,#NULL!,#NULL!,#NULL!,#NULL!,61,3,#N/A,#DIV/0!,1.1,0,0,0,#DIV/0!,9.21,5.36,-0.04,0.75,64.73
Oklahoma,US, 5.5 ," 3,956,971 ",14.658%,1.8,38,35.57,-96.93,35.57,12.9,68.0,40,91,62,46,26,4.5,4.45,50,1.6,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Hebei,China, 6.5 ," 75,200,000 ",5.434%,1.7,38,39.55,116.13,39.55,10.3,41.5,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Ukraine, 4.7 ," 43,733,762 ",5.989%,1.4,41,48.38,31.17,48.38,7.4,73.2,93,23,27,95,55,3,#N/A,39.05,1.8,3986,2066,2,17.3,9.21,5.36,-0.04,0.75,64.73
Kentucky,US, 5.6 ," 4,467,673 ",13.370%,1.8,38,37.67,-84.67,37.67,9.0,79.7,40,91,62,46,26,4.5,4.45,50,1.7,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
